category,findings,keep,drop,uncertain,precision,drop_rate,main_drop_reason
Attribution,40,0,40,0,0.0,1.0,too_low_impact
Clarity,34,0,34,0,0.0,1.0,too_low_impact
Headline mismatch,23,10,12,1,0.4545,0.5455,headline_compression
Entity consistency,17,0,15,2,0.0,1.0,acceptable_arabic
Loaded framing,14,0,14,0,0.0,1.0,incorrect_rule
Numeric consistency,14,5,0,9,1.0,0.0,
spelling,13,3,10,0,0.2308,0.7692,optional_style
unsupported_certainty,3,1,2,0,0.3333,0.6667,headline_compression
repetition,3,2,1,0,0.6667,0.3333,optional_style
consistency,1,1,0,0,1.0,0.0,
grammar,1,1,0,0,1.0,0.0,
